anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
st. petersburg steklov mathematics,st. petersburg,korteweg-de vries mathematics,0.8248986005783081,0.6557605266571045
shadan hospital and medical sciences,hassan medical sciences,shariati hospital,0.786314845085144,0.8209375143051147
health of woman and child - sdb,health of woman and child,and maternal and child health,0.8559103608131409,0.8017165660858154
bioengineering catalonia,bioengineering of catalonia,bionano engineering,0.9669215083122253,0.7238215804100037
cham humanities center,humanities center,center for humanities,0.8642445802688599,0.9308316111564636
phitem,ufr phitem,ph,0.8404790759086609,0.8636924624443054
indian agricultural research institute,indian veterinary research institute,agricultural research institute,0.8782445788383484,0.8342994451522827
barueri education foundation,education foundation,ugo bordoni foundation,0.7997729778289795,0.777106523513794
accm,accf,cbmn,0.8799121379852295,0.8231717348098755
management and medical information,management and medical informatics,health management and informatics,0.9183739423751831,0.8665705919265747
criminal and forensic sciences,criminalistics and forensic sciences,criminology and forensic sciences,0.9826079607009888,0.9705150127410889
hospital federal dos servidores do estado,hospital do servidor público estadual,hospital nacional hipólito unanue,0.8498647809028625,0.8016048669815063
département de mathématiques et applications,département des sciences de l'éducation,département des sciences appliquées,0.8259997367858887,0.8608568906784058
pranveer singh technology,indian technology kanpur,sirindhorn international technology,0.7656016945838928,0.6919726133346558
westmead applied research centre,westmead medical research,applied research centre,0.895219087600708,0.7699547410011292
physics cavendish laboratory,"physics, cavendish laboratory",physics laboratory,0.9701101183891296,0.914462685585022
aerospace research centre,aerospace research center,aerospace research institute,0.9896367788314819,0.9065964221954346
coens,cen,fiee,0.7745285034179688,0.7574222087860107
ceart,deart,esce,0.8753502368927002,0.8499639630317688
di4a,di3a,r4d,0.881496250629425,0.8680914640426636
veterinary medicine and animal sciences,veterinary medicine & animal science,medical veterinary and life sciences,0.9894232749938965,0.9358704090118408
aselsan,aselsan inc.,imsar,0.8931270837783813,0.7246860861778259
modern languages and culture,modern languages and cultures,humanities and modern languages,0.9860851764678955,0.937407374382019
willy brandt public policy,public policy,ford public policy,0.7034114599227905,0.7265587449073792
development management,development and management,management and rural development,0.9402475357055664,0.7909547090530396
physiotherapy's clinic,physiotherapy clinic,physiotherapie,0.9841859340667725,0.8714677095413208
copsac,atc,police,0.6603331565856934,0.8299723863601685
b-11: bioenergy and biome sciences,biosciences & bioengineering,bioscience & bioengineering,0.784765899181366,0.7922495603561401
kayseri training and research hospital,konya training and research hospital,khyber teaching hospital,0.8299605250358582,0.7345069050788879
microscopy,nanoscopy,medical imaging techniques,0.8939275145530701,0.7726590633392334
australian health services research institute,south australian health and medical research institute,austral center for scientific research,0.9184556007385254,0.7792482376098633
medicine and veterinary medicine,medicine & veterinary medicine,"clinical sciences, veterinary medicine",0.9977994561195374,0.923600435256958
fesc,fes,sesc,0.8520110845565796,0.8715065121650696
health and life science,health & life science,life and allied health sciences,0.9966105222702026,0.9563184976577759
cispa,ispa,ispra,0.889361560344696,0.8364505171775818
medical clinics,medical clinic,medical clinic i,0.9604289531707764,0.9496806859970093
organic chemistry and biochemistry,biochemistry and organic chemistry,"organic chemistry, bioorganic chemistry and biotechnology",0.985008716583252,0.9617210030555725
division of cancer therapeutics,division of cancer studies,division of cancer treatment and diagnosis,0.8447144031524658,0.9284271001815796
global pediatric medicine,pediatrics and medicine,medical pediatrics,0.8403547406196594,0.8253904581069946
earth & environmental sciences,earth and environmental sciences,ecology and earth sciences,0.9981859922409058,0.9524728059768677
electrical and electronics enginering,electrical and computer enginering,electrical and computer enginerring,0.9609649777412415,0.9513167142868042
pathology and experimental therapeutics,experimental therapeutics,pharmacology & experimental therapeutics,0.8944826126098633,0.9196012020111084
anthropology of americas,american history,anthropology and ethnology,0.8313442468643188,0.829388439655304
electrocardiology,cardiac electrophysiology,clinical cardiac electrophysiology,0.9599048495292664,0.9172118902206421
mai,iau,fai,0.8527281284332275,0.8685840368270874
parul public health,public health,"public health,",0.8754870295524597,0.8808259963989258
harvardx,harvard,isv,0.7367736101150513,0.6890263557434082
"humanities - languages, mediation, history, literature, philosophy","languages, literatures and cultural studies","humanities: philosophy, language and literature",0.8897711634635925,0.9425877928733826
dopt,dtis,fop,0.7874354124069214,0.8104698061943054
clinical division,clinical sciences division,division of clinical epidemiology,0.9288662672042847,0.8467800617218018
national instruments corp,instrument department,instrumental department,0.7294687032699585,0.7063115239143372
atmospheric pollution research,atmospheric and climate science,atmospheric and environmental research,0.7933293581008911,0.9038085341453552
retirement,retired,aged care,0.900252103805542,0.5702155828475952
ftve,tvet,sft,0.811799168586731,0.8788233995437622
escuela técnica superior de ingenieros de minas y energía,escuela tecnica superior de ingenieros industriales,escuela superior de ingeniería mecánica y eléctrica,0.9261365532875061,0.9190794825553894
radiology and diagnostic imaging,radiology and imaging,radiology & imaging,0.9864648580551147,0.9816878437995911
mechanical engineering & automation,mechanical engineering and automation,mechanical & mechatronic engineering,0.9972927570343018,0.9491743445396423
ji hua laboratory,xianghu laboratory,hla laboratory,0.8915306329727173,0.7712043523788452
generation,gen,age itp,0.7741383910179138,0.7085074186325073
functional genomics and cancer,molecular genetics of cancer,cancer and genomics,0.8797347545623779,0.942785918712616
animal production and pastures,agriculture and livestock,agriculture and animal husbandry,0.8612453937530518,0.8790311813354492
"environment, health and safety","environment, health & safety",environmental and occupational health and safety,0.9974116086959839,0.9339028596878052
