anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
academic staff,faculty i,lis faculty,0.8678808808326721,0.8347484469413757
neuroscience and behavioral sciences department,neuroscience department,neurosciences department,0.9349966645240784,0.9424318075180054
human health and performance,health and human performance,health and functioning,0.9877629280090332,0.8979678153991699
public management,public management and administration,public administration and health services management,0.9382153749465942,0.8255809545516968
inorganic chemistry and catalysis,catalysis and inorganic chemistry,"organic chemistry, biochemistry and catalysis",0.9840483665466309,0.9481485486030579
"philosophy, classics, history of art and ideas",philosophy and history of ideas,philosophy and art history,0.9074318408966064,0.9548541307449341
yufu,urfu,ufu,0.8060526847839355,0.8320196866989136
self,themselves,insis,0.7883404493331909,0.6812379360198975
division of computer science,computer science division,computer science and engineering discipline,0.9592069387435913,0.8465734124183655
english and spanish,spanish language,spanish section,0.9024094343185425,0.8681036829948425
international economic relations department,international trade department,international relations and economics,0.8849012851715088,0.8332980275154114
foreign languages and literary studies,languages and literary studies,languages and literature studies,0.9526023864746094,0.945671558380127
biorefinery,bioprocessing,bioresources and technology,0.8303267955780029,0.8188346028327942
"urology,",urology,urologia,0.9845762252807617,0.937403678894043
blizzard institute,ice,national snow and ice data center,0.6361608505249023,0.6639114022254944
laboratory of biochemistry and molecular biology,laboratory of biochemistry and genetics,laboratory of biomolecular research,0.9713695645332336,0.9405406713485718
biomedicine,biomedic,,0.9567248821258545,
biocybernetics and biomedical engineering,electronics and biomedical engineering,cybernetics and biomedical engineering,0.892164945602417,0.9682000875473022
samsung advanced technology,samsung electromechanics,asian technology,0.8802372217178345,0.7423279285430908
speech language sciences,speech sciences,speech and language sciences,0.9615947008132935,0.9806423187255859
transportation and civil engineering,civil engineering and transportation,civil engineering transportation engineering,0.9841710329055786,0.9483442306518555
dmem,dms,dlm,0.8885281085968018,0.8519405126571655
biomedical sciences and pharmacy,biomedical science and pharmacy,biomedicine and pharmacy,0.99222731590271,0.9428755044937134
statistical genetics,quantitative genetics,"genetics, microbiology and statistics",0.9027917385101318,0.8073636293411255
"center for humanities, letters and arts","center for arts, humanities and letters",center for humanities,0.9892177581787109,0.935034453868866
enfemagem,femec,esmae,0.7956093549728394,0.7749248743057251
c-level,c3,fourth level,0.7860433459281921,0.8409333229064941
business support studies,business support,business and development studies,0.7818235158920288,0.8536269664764404
gi,sgi,inegi,0.8902274370193481,0.8208216428756714
open education and scientific information systems,information science,globally distributed open research and education,0.7275899648666382,0.8734710216522217
computer engineering and telecommunications,computer and communications engineering,communications and computer engineering,0.9687922596931458,0.9714462161064148
guangdong cardiovascular institute,guangdong general hospital,,0.840106725692749,
australian business,australian centre,stuart business,0.7971025705337524,0.6683653593063354
center for research and documentation of contemporary history of brazil,history of brazil,center for historical studies,0.8185672760009766,0.7429433465003967
pharmaceutical sciences and food,pharmaceutical and food sciences,"pharmaceutical sciences, food and nutrition",0.9873131513595581,0.9749552607536316
telecommunications and telematics,telematics,informatics & telematics,0.94954514503479,0.9120798110961914
language academy,language learning academy,education academy,0.9677093029022217,0.8566256165504456
honors school,honors program,high-performance school,0.8088306188583374,0.790865421295166
experimental zooprophylactic veneto,experimental zooprophylactic south,experimental nephrology,0.7897270917892456,0.8013867139816284
laboratory of microbiology,laboratory of medical microbiology,laboratory for molecular microbiology,0.9743949174880981,0.957267165184021
graduate and research unit,graduate studies unit,"graduate, extension and research unit",0.9097989201545715,0.9374027252197266
"human nutrition, foods, and exercise","human nutrition, foods and exercise",human nutrition & health,0.9978997111320496,0.9154987335205078
nuclear futures institute,nuclear technology,nuclear and energy research institute,0.7722025513648987,0.8726074695587158
criminal justice,criminal justice system,criminal justice and security,0.9516396522521973,0.8489031195640564
ippp,ppp,ippn,0.9157646894454956,0.9155112504959106
quality and patient safety,quality & patient safety,hospital hygiene,0.9962191581726074,0.7255840301513672
landscape architecture and urban planning,landscape architecture & urban planning,landscape architecture and spatial planning,0.9976561665534973,0.9767533540725708
care management,healthcare management,health and care management,0.87469083070755,0.8832945227622986
aeronautics and aerospace,aeronautics,aeronautics and engineering,0.9488224387168884,0.9141185283660889
quantum physics,quantum physics and astrophysics,quantum matter physics,0.9396286010742188,0.9670820832252502
china national offshore oil corporation china,china national petroleum corporation china,centre for marine living resources and ecology cochin,0.9051980972290039,0.6761932373046875
cartography and remote sensing,cartography and geoinformation,"geoinformatics, cartography and remote sensing",0.8517475724220276,0.891559362411499
uncp,unap,unopar,0.842176616191864,0.8220571875572205
fish diseases and management,fish diseases,fish health management division,0.9103453755378723,0.8382877707481384
state education department,state education,department of education,0.9381018877029419,0.8933118581771851
human health and performance,health and human performance,health and functioning,0.9877629280090332,0.8979678153991699
cs and it,it and cs,sct,0.9326376914978027,0.8633401393890381
mechanical and engineering,mechanics and engineering,mechanical & mechatronic engineering,0.9871837496757507,0.9646803140640259
cadarache,ens cachan,cainamarca,0.7528371810913086,0.7781901359558105
graduate studies & research,graduate studies and research,research and graduate,0.9974597096443176,0.9424131512641907
moh polytechnic bengkulu,malang state polytechnic,temasek polytechnic,0.8171234130859375,0.8426600098609924
innovation sciences,innovation science,science and technology innovation,0.974590539932251,0.9442608952522278
doctor of education,doctorate in education,doctorate in education and society,0.967353343963623,0.8882388472557068
post graduate program in arts,graduate program in arts,graduate fine arts,0.9708535671234131,0.8952824473381042
utrecht linguistics,utrecht linguistics ots,german language and linguistics,0.9777916669845581,0.7712037563323975
istanbul medical faculty,cerrahpaşa medical faculty,i medical faculty,0.8206524848937988,0.8034086227416992
toxicology and pharmacology,toxicology & pharmacology,"pharmacology, clinical pharmacology and toxicology",0.9975096583366394,0.9642890095710754
advanced materials and chemical engineering,advanced materials engineering,new materials and chemical engineering,0.9729674458503723,0.9468356966972351
wwf international,wwf,wwf-india,0.7837748527526855,0.7738683223724365
investigation group,investigation area,investigation center,0.8041073679924011,0.7330167293548584
civil and engineering department,civil engineering department,civil engineer department,0.9820521473884583,0.9660460948944092
"culture, film and media",culture and media,"arts, culture and media",0.9496938586235046,0.9371890425682068
human and information sciences,human sciences and information,information and physical sciences,0.9746335744857788,0.9017302989959717
communication sciences and information technology,communication and information sciences,information technology and communication sciences,0.9732585549354553,0.9865169525146484
clinic anesthetics,anesthesiolgy,clinic medicine,0.8734627962112427,0.8786808252334595
women's and children's health,women's & children's health,and maternal and child health,0.9972261190414429,0.9233420491218567
division of health research,division of health sciences,public health sciences division,0.929387629032135,0.8993955850601196
ifakara health institute,,hakai institute,,0.8511658906936646
information convergence engineering,information engineering,engineering information technology,0.9229423403739929,0.9080789089202881
field science,field research,fieldwork,0.8414320349693298,0.8419442176818848
maternal-child nursing and psychiatric,maternal and child nursing and psychiatric department,maternal health nursing,0.8795398473739624,0.9182372093200684
experimental cardiology cardiology research center,experimental cardiology,molecular cardiology research institute,0.9079509973526001,0.8677927255630493
huacho,huamanga,soacha,0.7671229839324951,0.8060552477836609
